#,Name,Catch Rate,HP,Male,Female,Egg Group,Held Item,Location
1,Bulbasaur,45,45,87.50%,12.50%,"Monster, Plant",None,Grass | Kanto | Route 5 | Rare | Lvl.10
Water | Kanto | Route 12 | Very Common | Lvl.30-35
Water | Kanto | Route 13 | Very Common | Lvl.30-35
Water | Kanto | Route 19 | Uncommon | Lvl.30-35
Water | Kanto | Route 20 | Uncommon | Lvl.30-35
Super Rod | Kanto | Route 20 | Rare | Lvl.30-40
Water | Kanto | Route 21 | Uncommon | Lvl.30-35
Super Rod | Kanto | Route 21 | Rare | Lvl.30-40
Water | Kanto | Route 24 | Rare | Lvl.30-35
Water | Kanto | S.s. Anne | Uncommon | Lvl.30-35
Water | Kanto | Tanoby Ruins | Uncommon | Lvl.40-50
Water | Kanto | Trainer Tower | Uncommon | Lvl.40-50
Water | Kanto | Treasure Beach | Uncommon | Lvl.30-40
Water | Kanto | Vermilion City | Uncommon | Lvl.30-35
Water | Kanto | Water Labyrinth | Common | Lvl.40-50
Water | Kanto | Water Path | Very Common | Lvl.40-50
Water | Hoenn | Abandoned Ship | Rare | Lvl.30
Super Rod | Hoenn | Abandoned Ship | Common | Lvl.30-40
Water | Hoenn | Battle Frontier | Very Common | Lvl.45-55
Water | Hoenn | Ever Grande City | Common | Lvl.30-40
Water | Hoenn | Mossdeep City | Common | Lvl.30-35
Water | Hoenn | Pacifidlog Town | Common | Lvl.30-40
Water | Hoenn | Route 124 | Common | Lvl.30
Water | Hoenn | Route 125 | Common | Lvl.30-35
Water | Hoenn | Route 126 | Common | Lvl.30-35
Water | Hoenn | Route 127 | Common | Lvl.30-35
Water | Hoenn | Route 128 | Common | Lvl.30-35
Water | Hoenn | Route 129 | Common | Lvl.30-40
Water | Hoenn | Route 130 | Common | Lvl.30-40
Water | Hoenn | Route 131 | Common | Lvl.30-40
Water | Hoenn | Route 132 | Common | Lvl.30-40
Water | Hoenn | Route 133 | Common | Lvl.30-40
Water | Hoenn | Seafloor Cavern | Very Common | Lvl.30-35
Water | Hoenn | Sealed Chamber | Very Common | Lvl.30-40
Water | Hoenn | Shoal Cave | Uncommon | Lvl.30-35
Water | Sinnoh | Canalave City | Rare | Lvl.30-40
Water | Sinnoh | Fuego Ironworks | Rare | Lvl.30-40
Water | Sinnoh | Iron Island | Rare | Lvl.30-40
Water | Sinnoh | Pastoria City | Rare | Lvl.30-40
Water | Sinnoh | Pokémon League | Very Common | Lvl.30-50
Water | Sinnoh | Route 205 | Very Rare | Lvl.30-40
Water | Sinnoh | Route 212 | Rare | Lvl.30-40
Water | Sinnoh | Route 213 | Rare | Lvl.30-40
Water | Sinnoh | Route 218 | Rare | Lvl.30-40
Water | Sinnoh | Route 219 | Uncommon | Lvl.30-40
Water | Sinnoh | Route 220 | Uncommon | Lvl.30-40
Water | Sinnoh | Route 221 | Rare | Lvl.30-40
Water | Sinnoh | Route 222 | Uncommon | Lvl.30-40
Water | Sinnoh | Route 223 | Very Common | Lvl.30-50
Water | Sinnoh | Route 224 | Very Common | Lvl.40-55
Water | Sinnoh | Route 226 | Rare | Lvl.40-55
Water | Sinnoh | Route 230 | Uncommon | Lvl.40-55
Water | Sinnoh | Sunyshore City | Very Common | Lvl.30-50
Water | Sinnoh | Valley Windworks | Rare | Lvl.30-40"
74,Geodude,255,40,50%,50%,Mineral,"Everstone, Hard Stone","Grass | Kanto | Kindle Road | Uncommon | Lvl.36-38
Cave | Kanto | Mt. Ember | Very Common | Lvl.38-48
Grass | Kanto | Mt. Ember | Very Common | Lvl.38-40
Cave | Kanto | Mt. Moon | Common | Lvl.7-10
Cave | Kanto | Rock Tunnel | Common | Lvl.15-17
Grass | Kanto | Sevault Canyon | Uncommon | Lvl.50-52
Cave | Kanto | Victory Road | Rare | Lvl.42-46
Cave | Hoenn | Granite Cave | Rare | Lvl.10-12
Cave | Hoenn | Magma Hideout | Very Common | Lvl.27-30
Cave | Sinnoh | Iron Island | Rare | Lvl.29-32
Cave | Sinnoh | Maniac Tunnel | Very Common | Lvl.23-25
Cave | Sinnoh | Mt. Coronet | Rare | Lvl.13-19
Cave | Sinnoh | Oreburgh Gate | Very Common | Lvl.5-9
Cave | Sinnoh | Oreburgh Mine | Very Common | Lvl.6-10
Cave | Sinnoh | Ravaged Path | Common | Lvl.5
Grass | Sinnoh | Route 206 | Uncommon | Lvl.16-18
Grass | Sinnoh | Route 206 | Uncommon | Lvl.16-18
Grass | Sinnoh | Route 206 | Uncommon | Lvl.16-18
Grass | Sinnoh | Route 206 | Common | Lvl.16-18
Grass | Sinnoh | Route 207 | Very Common | Lvl.5-7
Grass | Sinnoh | Route 210 | Common | Lvl.19
Grass | Sinnoh | Route 210 | Common | Lvl.19
Grass | Sinnoh | Route 210 | Common | Lvl.19
Grass | Sinnoh | Route 210 | Common | Lvl.19
Grass | Sinnoh | Route 211 | Uncommon | Lvl.13-14
Grass | Sinnoh | Route 214 | Uncommon | Lvl.21-22
Grass | Sinnoh | Route 215 | Uncommon | Lvl.20-22
Grass | Sinnoh | Route 215 | Uncommon | Lvl.20-22
Grass | Sinnoh | Route 215 | Uncommon | Lvl.20-22
Grass | Sinnoh | Route 215 | Common | Lvl.20-22
Cave | Sinnoh | Ruin Maniac Cave | Very Common | Lvl.21-24
Cave | Sinnoh | Stark Mountain | Rare | Lvl.52-53
Grass | Sinnoh | Valor Lakefront | Uncommon | Lvl.25-27
Grass | Sinnoh | Valor Lakefront | Uncommon | Lvl.25-27
Grass | Sinnoh | Valor Lakefront | Uncommon | Lvl.25-27
Grass | Sinnoh | Valor Lakefront | Uncommon | Lvl.25-27
Cave | Sinnoh | Wayward Cave | Common | Lvl.17-20"
75,Graveler,120,55,50%,50%,Mineral,"Everstone, Hard Stone","Cave | Kanto | Cerulean Cave | Uncommon | Lvl.54-60
Cave | Kanto | Mt. Ember | Very Rare | Lvl.46-48
Cave | Kanto | Victory Road | Uncommon | Lvl.44-48
Cave | Hoenn | Magma Hideout | Uncommon | Lvl.30-33
Cave | Unova | Challenger's Cave | Uncommon | Lvl.47-49
Cave | Sinnoh | Iron Island | Very Common | Lvl.31-34
Cave | Sinnoh | Mt. Coronet | Very Common | Lvl.32-40
Grass | Sinnoh | Route 211 | Uncommon | Lvl.28
Grass | Sinnoh | Route 214 | Uncommon | Lvl.25
Grass | Sinnoh | Route 216 | Uncommon | Lvl.35
Grass | Sinnoh | Route 216 | Common | Lvl.35
Grass | Sinnoh | Route 216 | Uncommon | Lvl.35
Grass | Sinnoh | Route 216 | Rare | Lvl.35
Grass | Sinnoh | Route 225 | Uncommon | Lvl.49
Grass | Sinnoh | Route 225 | Uncommon | Lvl.49
Grass | Sinnoh | Route 225 | Uncommon | Lvl.49
Grass | Sinnoh | Route 225 | Uncommon | Lvl.49
Grass | Sinnoh | Route 226 | Common | Lvl.49
Grass | Sinnoh | Route 227 | Uncommon | Lvl.51-53
Grass | Sinnoh | Sendoff Spring | Very Common | Lvl.37-39
Cave | Sinnoh | snowpoint temple | Uncommon | Lvl.52-56
Cave | Sinnoh | snowpoint temple | Uncommon | Lvl.52-56
Cave | Sinnoh | snowpoint temple | Uncommon | Lvl.52-56
Cave | Sinnoh | snowpoint temple | Uncommon | Lvl.52-56
Grass | Sinnoh | Stark Mountain | Uncommon | Lvl.51-56
Cave | Sinnoh | Stark Mountain | Uncommon | Lvl.55-57
Grass | Sinnoh | Valor Lakefront | Rare | Lvl.26-28
Grass | Sinnoh | Valor Lakefront | Rare | Lvl.26-28
Grass | Sinnoh | Valor Lakefront | Rare | Lvl.26-28
Grass | Sinnoh | Valor Lakefront | Uncommon | Lvl.26-28
Cave | Sinnoh | Victory Road | Common | Lvl.40-51"
77,Ponyta,190,50,50%,50%,Field,Shuca Berry,"Grass | Kanto | Kindle Road | Common | Lvl.36-38
Grass | Kanto | Mt. Ember | Common | Lvl.38-40
Inside | Kanto | Pokémon Mansion | Uncommon | Lvl.30-32
Grass | Kanto | Route 17 | Uncommon | Lvl.24-28
Grass | Kanto | Route 22 | Rare | Lvl.3-5
Grass | Sinnoh | Route 206 | Very Common | Lvl.16-17
Grass | Sinnoh | Route 207 | Common | Lvl.5-7
Grass | Sinnoh | Route 210 | Common | Lvl.19-21
Grass | Sinnoh | Route 211 | Uncommon | Lvl.13-29
Grass | Sinnoh | Route 214 | Uncommon | Lvl.23-24
Grass | Sinnoh | Route 215 | Uncommon | Lvl.21-22"
78,Rapidash,60,65,50%,50%,Field,Shuca Berry,"Grass | Kanto | Kindle Road | Rare | Lvl.40
Grass | Kanto | Mt. Ember | Uncommon | Lvl.40-42
Grass | Unova | Route 12 | Very Common | Lvl.49
Dark Grass | Unova | Route 12 | Very Common | Lvl.54"
79,Slowpoke,190,90,50%,50%,"Monster, Water A","Lagging Tail, King's Rock","Grass | Kanto | Berry Forest | Rare | Lvl.41-43
Water | Kanto | Berry Forest | Very Common | Lvl.30-40
Super Rod | Kanto | Berry Forest | Rare | Lvl.25-40
Grass | Kanto | Bond Bridge | Rare | Lvl.40-42
Super Rod | Kanto | Bond Bridge | Rare | Lvl.25-40
Grass | Kanto | Canyon Entrance | Rare | Lvl.48-50
Grass | Kanto | Cape Brink | Uncommon | Lvl.39-41
Water | Kanto | Cape Brink | Very Common | Lvl.30-40
Super Rod | Kanto | Cape Brink | Rare | Lvl.25-40
Water | Kanto | Celadon City | Very Common | Lvl.30-35
Water | Kanto | Cerulean Cave | Uncommon | Lvl.47-50
Super Rod | Kanto | Cerulean Cave | Rare | Lvl.25-40
Super Rod | Kanto | Cerulean City | Rare | Lvl.25-40
Super Rod | Kanto | Cinnabar Island | Rare | Lvl.25-40
Super Rod | Kanto | Five Island | Rare | Lvl.25-40
Super Rod | Kanto | Five Isle Meadow | Rare | Lvl.25-40
Grass | Kanto | Five Isle Meadow | Rare | Lvl.48-50
Water | Kanto | Four Island | Common | Lvl.40-50
Super Rod | Kanto | Four Island | Rare | Lvl.25-40
Water | Kanto | Fuchsia City | Very Common | Lvl.30-35
Super Rod | Kanto | Fuchsia City | Rare | Lvl.25-40
Super Rod | Kanto | Green Path | Rare | Lvl.25-40
Cave | Kanto | Icefall Cave | Uncommon | Lvl.48-50
Super Rod | Kanto | Icefall Cave | Rare | Lvl.25-40
Water | Kanto | Icefall Cave | Uncommon | Lvl.40-50
Grass | Kanto | Kindle Road | Rare | Lvl.36-38
Super Rod | Kanto | Kindle Road | Rare | Lvl.25-40
Super Rod | Kanto | Memorial Pillar | Rare | Lvl.25-40
Super Rod | Kanto | One Island | Rare | Lvl.25-40
Super Rod | Kanto | Outcast Island | Rare | Lvl.25-40
Super Rod | Kanto | Pallet Town | Rare | Lvl.25-40
Super Rod | Kanto | Resort Gorgeous | Rare | Lvl.25-40
Super Rod | Kanto | Route 4 | Rare | Lvl.25-40
Water | Kanto | Route 6 | Very Common | Lvl.30-35
Super Rod | Kanto | Route 6 | Rare | Lvl.25-40
Super Rod | Kanto | Route 10 | Rare | Lvl.25-40
Super Rod | Kanto | Route 11 | Rare | Lvl.25-40
Water | Kanto | Route 12 | Uncommon | Lvl.30-35
Super Rod | Kanto | Route 12 | Rare | Lvl.25-40
Water | Kanto | Route 13 | Uncommon | Lvl.30-35
Super Rod | Kanto | Route 13 | Rare | Lvl.25-40
Super Rod | Kanto | Route 19 | Rare | Lvl.25-40
Super Rod | Kanto | Route 20 | Rare | Lvl.25-40
Super Rod | Kanto | Route 21 | Rare | Lvl.25-40
Water | Kanto | Route 22 | Common | Lvl.30-35
Super Rod | Kanto | Route 22 | Rare | Lvl.25-40
Water | Kanto | Route 23 | Very Common | Lvl.30-40
Super Rod | Kanto | Route 23 | Uncommon | Lvl.25-40
Super Rod | Kanto | Route 24 | Rare | Lvl.25-40
Water | Kanto | Route 25 | Very Common | Lvl.30-35
Super Rod | Kanto | Route 25 | Rare | Lvl.25-40
Grass | Kanto | Ruin Valley | Rare | Lvl.50-52
Super Rod | Kanto | Ruin Valley | Rare | Lvl.25-40
Super Rod | Kanto | S.s. Anne | Rare | Lvl.25-40
Water | Kanto | Safari Zone | Very Common | Lvl.30-35
Super Rod | Kanto | Safari Zone | Rare | Lvl.25-40
Cave | Kanto | Seafoam Islands | Uncommon | Lvl.26-32
Water | Kanto | Seafoam Islands | Rare | Lvl.30-40
Super Rod | Kanto | Seafoam Islands | Rare | Lvl.25-40
Super Rod | Kanto | Tanoby Ruins | Rare | Lvl.25-40
Super Rod | Kanto | Trainer Tower | Rare | Lvl.25-40
Grass | Kanto | Treasure Beach | Rare | Lvl.36-38
Super Rod | Kanto | Treasure Beach | Rare | Lvl.25-40
Super Rod | Kanto | Vermilion City | Rare | Lvl.25-40
Water | Kanto | Viridian City | Common | Lvl.30-35
Super Rod | Kanto | Viridian City | Rare | Lvl.25-40
Super Rod | Kanto | Water Labyrinth | Rare | Lvl.25-40
Grass | Kanto | Water Path | Rare | Lvl.48-50
Super Rod | Kanto | Water Path | Rare | Lvl.25-40
Water | Unova | Abundant Shrine | Very Common | Lvl.35-55"
80,Slowbro,75,95,50%,50%,"Monster, Water A","King's Rock, Lagging Tail","Water | Kanto | Berry Forest | Uncommon | Lvl.37-40
Grass | Kanto | Cape Brink | Uncommon | Lvl.41-43
Water | Kanto | Cape Brink | Common | Lvl.37-40
Water | Kanto | Cerulean Cave | Very Common | Lvl.47-50
Super Rod | Kanto | Cerulean Cave | Uncommon | Lvl.37-40
Super Rod | Kanto | Cinnabar Island | Rare | Lvl.37-40
Cave | Kanto | Icefall Cave | Uncommon | Lvl.48-50
Water | Kanto | Route 12 | Rare | Lvl.37
Water | Kanto | Route 13 | Rare | Lvl.37
Super Rod | Kanto | Route 23 | Uncommon | Lvl.37-40
Cave | Kanto | Seafoam Islands | Rare | Lvl.37
Water | Kanto | Seafoam Islands | Rare | Lvl.37-40"
81,Magnemite,190,25,unknown,unknown,Genderless,"Metal Coat, Magnet","Inside | Kanto | Power Plant | Uncommon | Lvl.28-30
Grass | Kanto | Route 6 | Uncommon | Lvl.14-15
Grass | Kanto | Route 10 | Uncommon | Lvl.14-17
Grass | Kanto | Route 11 | Uncommon | Lvl.14-16
Cave | Hoenn | New Mauville | Very Common | Lvl.22-26
Grass | Hoenn | Route 110 | Rare | Lvl.12-13
Grass | Sinnoh | Fuego Ironworks | Uncommon | Lvl.28-30
Grass | Sinnoh | Route 222 | Uncommon | Lvl.39"
82,Magneton,60,50,unknown,unknown,Genderless,"Metal Coat, Magnet","Cave | Kanto | Cerulean Cave | Uncommon | Lvl.54-60
Inside | Kanto | Power Plant | Rare | Lvl.31-34
Grass | Sinnoh | Route 222 | Rare | Lvl.41
Cave | Sinnoh | Victory Road | Common | Lvl.41-43"
83,Farfetch'd,45,52,50%,50%,"Flying, Field",Stick,"Grass | Kanto | Route 12 (Morning/Day) | Rare | Lvl.26-28
Grass | Kanto | Route 13 (Morning/Day) | Rare | Lvl.26-28"
84,Doduo,190,35,50%,50%,Flying,Sharp Beak,"Grass | Kanto | Route 16 | Uncommon | Lvl.20-25
Grass | Kanto | Route 17 | Uncommon | Lvl.24-28
Grass | Kanto | Route 18 | Common | Lvl.25-29
Grass | Kanto | Route 22 (Morning/Day) | Uncommon | Lvl.3-5
Grass | Kanto | Safari Zone | Rare | Lvl.26-28
Grass | Hoenn | Safari Zone | Uncommon | Lvl.27-30"
85,Dodrio,45,60,50%,50%,Flying,Sharp Beak,"Grass | Kanto | Route 18 | Uncommon | Lvl.31
Grass | Hoenn | Safari Zone | Very Rare | Lvl.28-30"
86,Seel,190,65,50%,50%,"Water A, Field",Aspear Berry,"Cave | Kanto | Icefall Cave | Uncommon | Lvl.48-50
Water | Kanto | Icefall Cave | Common | Lvl.40-50
Cave | Kanto | Seafoam Islands | Uncommon | Lvl.28-34
Water | Kanto | Seafoam Islands | Common | Lvl.30-40
Water | Unova | Giant Chasm | Very Common | Lvl.35-55
Water | Sinnoh | Route 226 | Common | Lvl.35-45
Water | Sinnoh | Route 230 | Common | Lvl.35-45"
87,Dewgong,75,90,50%,50%,"Water A, Field","Never Melt Ice, Aspear Berry","Cave | Kanto | Icefall Cave | Uncommon | Lvl.48-50
Water | Kanto | Icefall Cave | Rare | Lvl.40-50
Cave | Kanto | Seafoam Islands | Uncommon | Lvl.34-36
Water | Kanto | Seafoam Islands | Common | Lvl.34-40
Water | Sinnoh | Route 226 | Rare | Lvl.40-55
Water | Sinnoh | Route 230 | Rare | Lvl.40-55
Cave | Sinnoh | Victory Road | Rare | Lvl.50-52
Water | Sinnoh | Victory Road | Very Common | Lvl.35-55"
88,Grimer,190,80,50%,50%,Chaos,"Nugget, Black Sludge","Water | Kanto | Celadon City | Uncommon | Lvl.30-35
Super Rod | Kanto | Celadon City | Rare | Lvl.25-40
Inside | Kanto | Pokémon Mansion | Uncommon | Lvl.28-30
Inside | Kanto | Power Plant | Uncommon | Lvl.28-30
Grass | Kanto | Route 16 | Very Common | Lvl.20-25
Grass | Kanto | Route 17 | Very Common | Lvl.24-28
Grass | Kanto | Route 18 | Very Common | Lvl.26-28
Cave | Hoenn | Fiery Path | Uncommon | Lvl.15-16"
89,Muk,75,105,50%,50%,Chaos,"Nugget, Black Sludge, Toxic Orb","Water | Kanto | Celadon City | Rare | Lvl.38
Inside | Kanto | Pokémon Mansion | Rare | Lvl.38
Inside | Kanto | Power Plant | Rare | Lvl.38"
90,Shellder,190,30,50%,50%,Water C,"Pearl, Big Pearl","Good Rod | Kanto | Cinnabar Island | Uncommon | Lvl.10-25
Super Rod | Kanto | Cinnabar Island | Uncommon | Lvl.25-40
Super Rod | Kanto | Five Island | Common | Lvl.25-40
Super Rod | Kanto | Icefall Cave | Uncommon | Lvl.25-40
Super Rod | Kanto | One Island | Uncommon | Lvl.25-40
Good Rod | Kanto | Pallet Town | Rare | Lvl.10-25
Super Rod | Kanto | Pallet Town | Uncommon | Lvl.25-40
Super Rod | Kanto | Route 11 | Uncommon | Lvl.25-40
Super Rod | Kanto | Route 19 | Uncommon | Lvl.25-40
Good Rod | Kanto | Route 20 | Rare | Lvl.10-25
Super Rod | Kanto | Route 20 | Uncommon | Lvl.25-40
Good Rod | Kanto | Route 21 | Rare | Lvl.10-25
Super Rod | Kanto | Route 21 | Uncommon | Lvl.25-40
Good Rod | Kanto | S.s. Anne | Rare | Lvl.10-25
Super Rod | Kanto | S.s. Anne | Uncommon | Lvl.25-40
Super Rod | Kanto | Seafoam Islands | Uncommon | Lvl.25-40
Good Rod | Kanto | Vermilion City | Rare | Lvl.10-25
Super Rod | Kanto | Vermilion City | Uncommon | Lvl.25-40
Super Rod | Unova | Route 13 | Very Common | Lvl.35-55
Super Rod | Unova | Undella Bay | Common | Lvl.35-55
Super Rod | Unova | Undella Town | Common | Lvl.35-55
Super Rod | Sinnoh | Fuego Ironworks | Uncommon | Lvl.20-50
Super Rod | Sinnoh | Route 205 | Very Rare | Lvl.20-50
Super Rod | Sinnoh | Valley Windworks | Rare | Lvl.20-40"
92,Gastly,190,30,50%,50%,Chaos,None,"Cave | Kanto | Lost Cave | Common | Lvl.50-52
Inside | Kanto | Pokémon Tower | Very Common | Lvl.15-19
Grass | Sinnoh | Eterna Forest | Rare | Lvl.13
Inside | Sinnoh | Old Chateau | Very Common | Lvl.15-17
Cave | Sinnoh | Route 209 | Very Common | Lvl.17-22
Grass | Sinnoh | Route 209 (Night) | Rare | Lvl.18-20
Inside | Sinnoh | Turnback Cave | Common | Lvl.44-54"
93,Haunter,90,45,50%,50%,Chaos,Spell Tag,"Cave | Kanto | Lost Cave | Common | Lvl.50-52
Inside | Kanto | Pokémon Tower | Rare | Lvl.25
Inside | Sinnoh | Turnback Cave | Common | Lvl.44-66"
95,Onix,45,35,50%,50%,Mineral,"Hard Stone, Lagging Tail, Metal Coat","Cave | Kanto | Mt. Moon | Rare | Lvl.7-10
Cave | Kanto | Rock Tunnel | Rare | Lvl.15-17
Grass | Kanto | Sevault Canyon | Rare | Lvl.50-52
Cave | Kanto | Victory Road | Uncommon | Lvl.40-48
Cave | Unova | Relic Castle | Common | Lvl.47-49
Cave | Sinnoh | Iron Island | Very Common | Lvl.31-35
Cave | Sinnoh | Oreburgh Mine | Uncommon | Lvl.8-9
Cave | Sinnoh | Snowpoint Temple | Rare | Lvl.50-54
Cave | Sinnoh | Stark Mountain | Rare | Lvl.54-56
Cave | Sinnoh | Victory Road | Uncommon | Lvl.41-50
Cave | Sinnoh | Wayward Cave | Uncommon | Lvl.18-20"
96,Drowzee,190,60,50%,50%,Humanoid,None,"Grass | Kanto | Berry Forest | Uncommon | Lvl.41-43
Grass | Kanto | Route 6 (Night) | Uncommon | Lvl.14-15
Grass | Kanto | Route 11 | Uncommon | Lvl.14-16"
97,Hypno,75,85,50%,50%,Humanoid,None,Grass | Kanto | Berry Forest | Rare | Lvl.43-45
98,Krabby,225,30,50%,50%,Water C,None,"Good Rod | Kanto | Bond Bridge | Very Common | Lvl.10-25
Super Rod | Kanto | Bond Bridge | Common | Lvl.25-40
Old Rod | Kanto | Cerulean City | Uncommon | Lvl.5-10
Good Rod | Kanto | Cerulean City | Common | Lvl.10-25
Super Rod | Kanto | Cerulean City | Common | Lvl.25-40
Good Rod | Kanto | Cinnabar Island | Very Common | Lvl.10-25
Super Rod | Kanto | Cinnabar Island | Uncommon | Lvl.25-40
Good Rod | Kanto | Five Island | Very Common | Lvl.10-25
Super Rod | Kanto | Five Island | Uncommon | Lvl.25-40
Good Rod | Kanto | Five Isle Meadow | Very Common | Lvl.10-25
Super Rod | Kanto | Five Isle Meadow | Common | Lvl.25-40
Super Rod | Kanto | Fuchsia City | Uncommon | Lvl.25-40
Good Rod | Kanto | Green Path | Very Common | Lvl.10-25
Super Rod | Kanto | Green Path | Common | Lvl.25-40
Good Rod | Kanto | Icefall Cave | Very Common | Lvl.10-25
Super Rod | Kanto | Icefall Cave | Common | Lvl.25-40
Good Rod | Kanto | Kindle Road | Very Common | Lvl.10-25
Super Rod | Kanto | Kindle Road | Very Common | Lvl.25-40
Good Rod | Kanto | Memorial Pillar | Very Common | Lvl.10-25
Super Rod | Kanto | Memorial Pillar | Common | Lvl.25-40
Good Rod | Kanto | One Island | Very Common | Lvl.10-25
Super Rod | Kanto | One Island | Common | Lvl.25-40
Good Rod | Kanto | Outcast Island | Very Common | Lvl.10-25
Super Rod | Kanto | Outcast Island | Common | Lvl.25-40
Good Rod | Kanto | Pallet Town | Very Common | Lvl.10-25
Super Rod | Kanto | Pallet Town | Uncommon | Lvl.25-40
Good Rod | Kanto | Resort Gorgeous | Very Common | Lvl.10-25
Super Rod | Kanto | Resort Gorgeous | Common | Lvl.25-40
Good Rod | Kanto | Route 4 | Very Common | Lvl.10-25
Super Rod | Kanto | Route 4 | Common | Lvl.25-40
Grass | Kanto | Route 10 | Uncommon | Lvl.14-17
Good Rod | Kanto | Route 10 | Very Common | Lvl.10-25
Super Rod | Kanto | Route 10 | Common | Lvl.25-40
Good Rod | Kanto | Route 11 | Very Common | Lvl.10-25
Super Rod | Kanto | Route 11 | Common | Lvl.25-40
Good Rod | Kanto | Route 12 | Common | Lvl.10-25
Super Rod | Kanto | Route 12 | Common | Lvl.25-40
Grass | Kanto | Route 12 | Uncommon | Lvl.23-27
Grass | Kanto | Route 13 | Rare | Lvl.25-27
Good Rod | Kanto | Route 13 | Common | Lvl.10-25
Super Rod | Kanto | Route 13 | Common | Lvl.25-40
Old Rod | Kanto | Route 19 | Uncommon | Lvl.5-10
Good Rod | Kanto | Route 19 | Very Common | Lvl.10-25
Super Rod | Kanto | Route 19 | Uncommon | Lvl.25-40
Good Rod | Kanto | Route 20 | Common | Lvl.10-25
Super Rod | Kanto | Route 20 | Uncommon | Lvl.25-40
Good Rod | Kanto | Route 21 | Very Common | Lvl.10-25
Super Rod | Kanto | Route 21 | Uncommon | Lvl.25-40
Good Rod | Kanto | Route 24 | Very Common | Lvl.10-25
Super Rod | Kanto | Route 24 | Common | Lvl.25-40
Super Rod | Kanto | Route 25 | Uncommon | Lvl.25-40
Good Rod | Kanto | S.s. Anne | Very Common | Lvl.10-25
Super Rod | Kanto | S.s. Anne | Uncommon | Lvl.25-40
Super Rod | Kanto | Safari Zone | Uncommon | Lvl.25-40
Cave | Kanto | Seafoam Islands | Uncommon | Lvl.28-32
Old Rod | Kanto | Seafoam Islands | Uncommon | Lvl.5-10
Good Rod | Kanto | Seafoam Islands | Very Common | Lvl.10-25
Super Rod | Kanto | Seafoam Islands | Common | Lvl.25-40
Water | Kanto | Seafoam Islands | Uncommon | Lvl.30-40
Good Rod | Kanto | Tanoby Ruins | Very Common | Lvl.10-25
Super Rod | Kanto | Tanoby Ruins | Common | Lvl.25-40
Good Rod | Kanto | Trainer Tower | Very Common | Lvl.10-25
Super Rod | Kanto | Trainer Tower | Common | Lvl.25-40
Good Rod | Kanto | Treasure Beach | Very Common | Lvl.10-25
Super Rod | Kanto | Treasure Beach | Very Common | Lvl.25-40
Good Rod | Kanto | Vermilion City | Very Common | Lvl.10-25
Super Rod | Kanto | Vermilion City | Uncommon | Lvl.25-40
Good Rod | Kanto | Water Labyrinth | Very Common | Lvl.10-25
Super Rod | Kanto | Water Labyrinth | Common | Lvl.25-40
Good Rod | Kanto | Water Path | Very Common | Lvl.10-25
Super Rod | Kanto | Water Path | Common | Lvl.25-40
Super Rod | Unova | Driftveil City | Very Common | Lvl.35-55
Super Rod | Unova | Route 4 | Very Common | Lvl.35-55
Super Rod | Unova | Route 13 | Very Common | Lvl.35-55"
99,Kingler,60,55,50%,50%,Water C,None,"Super Rod | Kanto | Bond Bridge | Uncommon | Lvl.28-40
Super Rod | Kanto | Cerulean Cave | Uncommon | Lvl.28-40
Super Rod | Kanto | Cerulean City | Rare | Lvl.28-40
Super Rod | Kanto | Five Island | Rare | Lvl.28-40
Super Rod | Kanto | Five Isle Meadow | Rare | Lvl.28-40
Super Rod | Kanto | Green Path | Rare | Lvl.28-40
Super Rod | Kanto | Icefall Cave | Rare | Lvl.28-40
Super Rod | Kanto | Kindle Road | Rare | Lvl.28-40
Super Rod | Kanto | Memorial Pillar | Rare | Lvl.28-40
Super Rod | Kanto | One Island | Rare | Lvl.28-40
Super Rod | Kanto | Outcast Island | Rare | Lvl.28-40
Super Rod | Kanto | Pallet Town | Rare | Lvl.28-40
Super Rod | Kanto | Resort Gorgeous | Rare | Lvl.28-40
Super Rod | Kanto | Route 10 | Rare | Lvl.28-40
Grass | Kanto | Route 12 | Rare | Lvl.28-30
Grass | Kanto | Route 13 | Rare | Lvl.28-30
Super Rod | Kanto | Route 19 | Rare | Lvl.28-40
Super Rod | Kanto | Route 20 | Rare | Lvl.28-40
Super Rod | Kanto | Route 21 | Rare | Lvl.28-40
Super Rod | Kanto | Route 23 | Rare | Lvl.28-40
Super Rod | Kanto | Route 25 | Rare | Lvl.28-40
Cave | Kanto | Seafoam Islands | Rare | Lvl.28-35
Super Rod | Kanto | Seafoam Islands | Rare | Lvl.28-40
Super Rod | Kanto | Tanoby Ruins | Rare | Lvl.28-40
Super Rod | Kanto | Trainer Tower | Rare | Lvl.28-40
Super Rod | Kanto | Treasure Beach | Rare | Lvl.28-40
Super Rod | Kanto | Water Labyrinth | Rare | Lvl.28-40
Super Rod | Kanto | Water Path | Rare | Lvl.28-40"
100,Voltorb,190,40,unknown,unknown,Genderless,None,"Inside | Kanto | Power Plant | Uncommon | Lvl.28-30
Grass | Kanto | Route 10 | Uncommon | Lvl.14-17
Cave | Hoenn | New Mauville | Very Common | Lvl.22-26
Grass | Hoenn | Route 110 | Rare | Lvl.13"
101,Electrode,60,60,unknown,unknown,Genderless,None,"Cave | Kanto | Cerulean Cave | Rare | Lvl.54-60
Inside | Kanto | Power Plant | Rare | Lvl.30-34"
